UC San Diego Health Zip Codes,
Employee Zip Code,% Total In Zip Code
53132,0.004%
53211,0.004%
53212,0.004%
53217,0.004%
53590,0.004%
53711,0.004%
53719,0.004%
53809,0.004%
53913,0.004%
54143,0.004%
54601,0.004%
55068,0.004%
55125,0.004%
55350,0.004%
55403,0.004%
55413,0.004%
55447,0.004%
55987,0.004%
56377,0.004%
57108,0.004%
57701,0.004%
57703,0.004%
57783,0.004%
58128,0.004%
59012,0.004%
59718,0.004%
59937,0.004%
60004,0.004%
60093,0.004%
60098,0.004%
60137,0.004%
60148,0.004%
60201,0.004%
60202,0.004%
60439,0.004%
60462,0.004%
60465,0.004%
60523,0.004%
60558,0.004%
60559,0.004%
60608,0.004%
60618,0.004%
60620,0.004%
60622,0.004%
60630,0.004%
60642,0.004%
60645,0.004%
60656,0.004%
61050,0.004%
61275,0.004%
61614,0.004%
61706,0.004%
61719,0.004%
61822,0.004%
62049,0.004%
62948,0.004%
63017,0.004%
63108,0.004%
63132,0.004%
63640,0.004%
63703,0.004%
64055,0.004%
64079,0.004%
64106,0.004%
64152,0.004%
64155,0.004%
65717,0.004%
66044,0.004%
66048,0.004%
66223,0.004%
66224,0.004%
67217,0.004%
68046,0.004%
68116,0.004%
68133,0.004%
70005,0.004%
70124,0.004%
70570,0.004%
72011,0.004%
72076,0.004%
72118,0.004%
72205,0.004%
72714,0.004%
73026,0.004%
73034,0.004%
73044,0.004%
73105,0.004%
73159,0.004%
74008,0.004%
74137,0.004%
75009,0.004%
75022,0.004%
75034,0.004%
75039,0.004%
75072,0.004%
75075,0.004%
75078,0.004%
75082,0.004%
75089,0.004%
75093,0.004%
75201,0.004%
75224,0.004%
75454,0.004%
75701,0.004%
75783,0.004%
76021,0.004%
76065,0.004%
76117,0.004%
76123,0.004%
76244,0.004%
76247,0.004%
76351,0.004%
76426,0.004%
76633,0.004%
76710,0.004%
77004,0.004%
77007,0.004%
77019,0.004%
77054,0.004%
77069,0.004%
77084,0.004%
77225,0.004%
77338,0.004%
77339,0.004%
77345,0.004%
77357,0.004%
77365,0.004%
77379,0.004%
77381,0.004%
77384,0.004%
77396,0.004%
77441,0.004%
77478,0.004%
77479,0.004%
77546,0.004%
77566,0.004%
77584,0.004%
77586,0.004%
77591,0.004%
77807,0.004%
77845,0.004%
78010,0.004%
78028,0.004%
78112,0.004%
78132,0.004%
78155,0.004%
78222,0.004%
78229,0.004%
78254,0.004%
78258,0.004%
78619,0.004%
78664,0.004%
78726,0.004%
78753,0.004%
79924,0.004%
79932,0.004%
79936,0.004%
79938,0.004%
80005,0.004%
80017,0.004%
80110,0.004%
80111,0.004%
80113,0.004%
80126,0.004%
80129,0.004%
80130,0.004%
80202,0.004%
80206,0.004%
80210,0.004%
80212,0.004%
80220,0.004%
80226,0.004%
80239,0.004%
80305,0.004%
80308,0.004%
80503,0.004%
80516,0.004%
80547,0.004%
80549,0.004%
80550,0.004%
80831,0.004%
80906,0.004%
80908,0.004%
80920,0.004%
80922,0.004%
81005,0.004%
81006,0.004%
81007,0.004%
81301,0.004%
81632,0.004%
82001,0.004%
83201,0.004%
83634,0.004%
83646,0.004%
83686,0.004%
83705,0.004%
83821,0.004%
84010,0.004%
84043,0.004%
84049,0.004%
84050,0.004%
84067,0.004%
84088,0.004%
84094,0.004%
84098,0.004%
84120,0.004%
84123,0.004%
84128,0.004%
84341,0.004%
84523,0.004%
84745,0.004%
85012,0.004%
85013,0.004%
85022,0.004%
85043,0.004%
85054,0.004%
85122,0.004%
85132,0.004%
85138,0.004%
85143,0.004%
85226,0.004%
85249,0.004%
85251,0.004%
85260,0.004%
85268,0.004%
85284,0.004%
